B,D,NB,small_speedup,mm_speedup,small_latency_ms,mm_latency_ms,torch_latency_ms
1024,16,524288,2.1365672424442548,1.6583713930816602,0.014997752634494493,0.01932239492481711,0.03204370698914295
1024,32,524288,1.5662388865060697,1.9804291472006958,0.024674727697856724,0.019514213921239146,0.03864651803433159
1024,64,524288,1.3984629820098597,2.322244914221355,0.037030699034762936,0.02230000009082935,0.05178606179806421
1024,128,524288,1.1103538697575857,2.0215478486507403,0.05932412267182813,0.03258432355316388,0.06587076917863809
1024,256,524288,0.9090319810609926,2.0674357825023844,0.10369724461010524,0.04559469875499342,0.0942641116984903
4096,16,2097152,4.518031484450278,2.657542910804024,0.016458426947506627,0.027980617295418467,0.07435969113335981
4096,32,2097152,3.1457028755347642,2.9087620887784724,0.026870674075824875,0.029059494770635134,0.08452715670787975
4096,64,2097152,2.72462043697654,2.5502362058368244,0.0400853319997676,0.04282635253141908,0.10921731478955647
4096,128,2097152,2.3274544887169144,2.3831586397326268,0.06869045489587666,0.06708487841050799,0.1598739075794149
4096,256,2097152,1.712950581529822,2.5215150992367135,0.16065180048029473,0.10913620748883718,0.2751885950565338
8192,16,4194304,5.117988640551956,2.8103904890907287,0.022906182122162798,0.04171433840055912,0.1172335798996435
8192,32,4194304,3.7925986373109914,3.254897930646554,0.036952001259250696,0.04305637614691959,0.14014410962174823
8192,64,4194304,3.1205878913822764,2.681001088699486,0.05929947101387633,0.06902243046124289,0.18504921121127677
8192,128,4194304,2.6109403212238664,2.522341601934232,0.11087309832082075,0.11476758053820384,0.28948304294484906
8192,256,4194304,1.6013030538447066,2.587891171375654,0.31186206099288216,0.1929701202932526,0.49938567064620637
16384,16,8388608,5.411089790089779,2.8762042132649634,0.03622102434205454,0.06814370624309668,0.19599521500388467
16384,32,8388608,3.5592901727852557,3.5044845132018505,0.06882159603885346,0.06989787785727301,0.2449560304564878
16384,64,8388608,3.31789564031498,2.818655062913959,0.10332510740526261,0.12162606482276854,0.3428219233949979
16384,128,8388608,2.685424022057025,2.7556195992076176,0.20533540188821395,0.20010476807753244,0.5514126208093432
16384,256,8388608,1.5974552845977033,2.7843446144812836,0.60667917029611,0.3480685693877084,0.9691428466448708
32768,16,16777216,6.3450059488308606,2.935230348238498,0.05628896428339453,0.12167829126119614,0.3571538132316661
32768,32,16777216,4.252616180850716,3.689267506058706,0.10818802550727245,0.1247082644701004,0.46008214784651685
32768,64,16777216,3.704670766098496,2.9827029358745594,0.1800165727412958,0.22358986086972799,0.6669021344479219
32768,128,16777216,3.006970563839905,2.9263129653969906,0.35889729186221286,0.36878953305157747,1.0791935920715332
32768,256,16777216,1.7992582356193634,2.952173892503913,1.055795096581982,0.6434742978640965,1.8996480226516723
