B,D,NB,small_speedup,mm_speedup,small_latency_ms,mm_latency_ms,torch_latency_ms
1024,16,4194304,1.2557743793796134,1.5934422921368947,0.08521275854186167,0.06715523963508431,0.10700799897313118
1024,32,4194304,0.6411575225144007,1.483972880545015,0.158114025815272,0.06831391489396066,0.1013759970664978
1024,64,4194304,0.462152735218604,1.305030924551542,0.25008279191596167,0.08856222802136518,0.11557644631506668
1024,128,4194304,0.34427184987418374,1.2598362709710125,0.43053270613445954,0.11765043965435976,0.14822029117224872
1024,256,4194304,0.29528204693141424,1.1369601776170812,0.7737267276174143,0.20094601059401476,0.2284676118964149
4096,16,16777216,3.5690709572015105,1.635341650263394,0.0864834425192845,0.18874682420316866,0.30866554297438453
4096,32,16777216,1.8879834044155368,1.5917314468213162,0.1607607366345453,0.19068141391172128,0.30351360284763834
4096,64,16777216,1.3617469533703581,1.2518512374138302,0.2533949363231659,0.27563960654813735,0.34505978253754704
4096,128,16777216,0.9626595806162457,1.1771688169500527,0.45409248054027557,0.3713456138011512,0.43713647687789237
4096,256,16777216,0.6174382247362904,1.095187638648195,1.1399186223240223,0.6426563866081692,0.7038293305115823
8192,16,33554432,4.561292708472899,1.6653713359860947,0.1275172100571178,0.34925743458526476,0.5816433204383384
8192,32,33554432,2.70091235968148,1.6023912109455134,0.2095001210091692,0.3531231713724566,0.5658414661884308
8192,64,33554432,1.806733559536675,1.2526430658210133,0.3624762177467346,0.5228128945955666,0.6548979471369487
8192,128,33554432,1.1233635151514405,1.177800313756551,0.7478790677987136,0.7133128160162817,0.8401400585105454
8192,256,33554432,0.5909981297360241,1.0924317044636542,2.3025078637259346,1.2456411101988383,1.3607778411645155
16384,16,67108864,5.021577751426126,1.6525046500541116,0.22172775062230918,0.6737791263475651,1.1134231393987482
16384,32,67108864,2.429073575226319,1.6270998514572372,0.45333407998085024,0.6767758189178095,1.1011818344310178
16384,64,67108864,1.8271941034298433,1.2514579001143964,0.6973554572941344,1.0181755051016808,1.2742037795624643
16384,128,67108864,1.1300293994791686,1.1796415019832593,1.4542636704444885,1.3931018020592483,1.643360702196757
16384,256,67108864,0.5860175913552392,1.0854260238070756,4.532385750820763,2.4470187028249106,2.6560577807887906
32768,16,134217728,5.904903650842935,1.685314603110508,0.37385424698164704,1.3098879602720153,2.207573307885064
32768,32,134217728,2.897376647368166,1.6435862736385962,0.7512968321899315,1.3244147458166446,2.1767898968287875
32768,64,134217728,1.991114110580984,1.2477814501044568,1.2640802621841432,2.017122507095337,2.516928046941757
32768,128,134217728,1.2382633315693907,1.1840805016729155,2.6370312783025924,2.757700284322103,3.2653391361236572
32768,256,134217728,0.6415360363874236,1.0845573752213353,8.17933377352628,4.83822939130995,5.2473373693578385
